ID;NOM;ADRESSE;CP;INSEE;COMMUNE;CATEGORIE;SS_CATEG;CONDITIONS;SOURCE;CAPACITE;OUVERTURE;DESCRIPTIF;GESTIONNAIRE;TEL;Y_LAT;X_LONG
4669;Véloparc Landreau;18 Rue du Moulin Neuf;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,231937260431;-1,51567410784259
4670;Véloparc Santos Dumont;83 Rue des Renards;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2593409385311;-1,56817516887492
4671;Véloparc Joliverie;141B Route de Clisson;44200;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1894640822829;-1,51713736252049
4672;Véloparc Gare de Chantenay;6 Rue de la Gare de Chantenay;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1974776928454;-1,59432063221902
4673;Véloparc Croix Bonneau;162 Rue des Pavillons;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2093793132118;-1,59590571933794
4674;Véloparc Egalité;6 Boulevard Léon Jouhaux;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2096389969219;-1,58893567189702
4675;Véloparc Grammoire;Boulevard Guichet Sérex;44120;440215;Vertou;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1648832280468;-1,48057280724925
4676;Véloparc Croix Jeannette;2 Rue Eugène Pottier;44340;440020;Bouguenais;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1753883030413;-1,62381748548106
4677;Véloparc Les Couëts;2 Rue de la Chapelle;44340;440020;Bouguenais;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,181039990182;-1,58619215993453
4679;Véloparc Durantière piscine;15 Rue de la Durantière;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2130698600424;-1,5987433387711
4680;Véloparc La Montagne Pompiers;4 Rue du Chat qui Guette;44620;440101;La Montagne;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1884394787049;-1,68921547002753
4682;Véloparc Zola;5 Rue des Renardières;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2139678598976;-1,58630574491059
4684;Véloparc Neustrie;Rue Christophe Colomb;44340;440020;Bouguenais;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1768127291306;-1,5931008293991
4685;Véloparc Mitterrand;Boulevard Salvador Allende;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2220008775796;-1,63953071741886
4687;Véloparc Chapeau vernis;141B Route de Clisson;44230;440190;Saint-Sébastien-sur-Loire;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1893474163775;-1,51129607032802
4688;Véloparc Beauséjour;Rue du Chêne Vert;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2385866318548;-1,5875971686372
4689;Véloparc Saint Félix;2 Boulevard Michelet;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2309463760357;-1,5567463855788
4691;Véloparc Michelet;41 Boulevard Michelet;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2347397901383;-1,55679328902158
4693;Véloparc Ragon;33 Rue Ernest Sauvestre;44400;440143;Rezé;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1653708798508;-1,54222050358576
4694;Véloparc Papotière;20 Rue de la Planchonnais;44980;440172;Sainte-Luce-sur-Loire;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2532938421275;-1,4748634235678
4696;Véloparc Place du Vieux Doulon;3 Boulevard du Manoir Saint-Lo;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2355803942804;-1,50396829907476
4697;Véloparc Gare de Chantenay;6 Rue de la Gare de Chantenay;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1976767160305;-1,59432983478804
4698;Véloparc Rue du Prieuré;2G Avenue du Onze Novembre;44640;440166;Saint-Jean-de-Boiseau;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1919584946688;-1,69665947853245
4699;Véloparc Maillardière;29 Rue de la Maillardière;44840;440198;Les Sorinières;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1571884416442;-1,52299322686504
4700;Véloparc Papillons;50 Rue des Papillons;44840;440198;Les Sorinières;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1477594251696;-1,52095767496549
4702;Véloparc La Chantrerie;Route de Gachet;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,2822591301244;-1,5178668774436
4703;Véloparc La Chantrerie;Route de Gachet;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,28211961337;-1,51767306531112
4704;Véloparc Gare Bouaye;65 Rue de la Gare;44830;440018;Bouaye;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,1381893646589;-1,68120557976484
4707;Véloparc Gare maritime;Quai Ernest Renaud;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2062720037518;-1,57271641865286
4708;Parking Gare nord;51 Boulevard de Stalingrad;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;87;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.resaplace.com/;02 40 74 23 05;47,2173064933529;-1,54344400552645
4709;Parking Gare nord;51 Boulevard de Stalingrad;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;222;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.resaplace.com/;02 40 74 23 05;47,2173064933529;-1,54344400552645
4710;Véloparc Saint Jean de Boiseau;2G Avenue du Onze Novembre;44640;440166;Saint-Jean-de-Boiseau;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1913349417818;-1,71207078123501
4711;Véloparc Souillarderie;7 Rue des Tamaris;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2379873571532;-1,51609092250636
4712;Véloparc Bout des Pavés;42 Boulevard de la Chauvinière;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2531822297812;-1,57599658083877
4713;Véloparc Pont Rousseau;Rue de la Gare;44400;440143;Rezé;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1931316450845;-1,54879735462731
4714;Véloparc Durantière;33 Rue de la Durantière;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2131821420844;-1,60022968798057
4715;Véloparc Coueron Even;9 Place Charles De Gaulle;44220;440047;Couëron;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2120550962799;-1,72697212765254
4716;Véloparc Trentemoult Roquios;1 Allée Claude Choëmet;44400;440143;Rezé;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,1952588328813;-1,57811271276998
4717;Véloparc Frachon;Boulevard Salvador Allende;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,2188442339937;-1,62147107652606
4718;Véloparc Neruda;Boulevard Salvador Allende;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,2179398953252;-1,61426165370435
4721;Véloparc Gare de Bouaye;65 Rue de la Gare;44830;440018;Bouaye;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,138233013834;-1,68128801895795
4722;Véloparc Gare de Coueron;108 Rue Alexandre Olivier;44220;440047;Couëron;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,2217826543592;-1,72352735205662
4723;Véloparc Gare de Thouaé;Rue des Ponts;44470;440204;Thouaré-sur-Loire;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,2650752390025;-1,44077389451817
4724;Véloparc Gare de Vertou;10 Impasse de la Gare;44120;440215;Vertou;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;15;7 jours sur 7. 24 h sur 24.;Collectif abrité;http://www.ter.sncf.com/pays-de-la-loire/;08 10 32 43 24;47,1858630613677;-1,47804183990209
4725;Véloparc Pas enchantés;16 Rue du Docteur Paul Michaux;44230;440190;Saint-Sébastien-sur-Loire;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Collectif abrité;http://www.ter.sncf.com/pays-de-la-loire/;08 10 32 43 24;47,2066732361951;-1,51061580824369
4726;Véloparc Goudy;11 Rue Gabriel Goudy;44200;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;24;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,1956815594464;-1,54079172323638
4727;Véloparc Gare de Chantenay;6 Rue de la Gare de Chantenay;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,1972833739648;-1,59460859999199
4728;Parking Gare sud 4;Rue Marcel Paul;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;50;7 jours sur 7. 24 h sur 24.;Collectif sécurisé;https://www.resaplace.com/;02 40 74 23 05;47,2150965513618;-1,53799068249962
4729;Véloparc Le Cardo;1 Esplanade du Cardo;44700;440114;Orvault;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,2623915691058;-1,5844044179263
4730;Véloparc Mitterrand;7 Rue Virginia Woolf;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,2220042659758;-1,63924587675425
4731;Parking Cité des Congrès;3 Rue de Valmy;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;29;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2136446636446;-1,54408374199817
4732;Parking Commerce;17 Place du Commerce;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;100;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,213319560977;-1,55780982208116
4733;Parking Decré / Bouffay;18 Rue du Moulin;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;68;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2166660839753;-1,55423649455925
4734;Parking Foch Cathédrale;6 Rue Sully;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;67;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2210181386105;-1,55126383584909
4735;Parking Graslin;2 Rue Louis Préaubert;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;27;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2145970240282;-1,56229636076085
4736;Parking les Machines;49 Rue la Tour d'Auvergne;44200;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;70;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.resaplace.com/;02 40 74 23 05;47,2058258245926;-1,56258627690313
4737;Parking Médiathèque;37 Quai de la Fosse;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;81;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2108424882587;-1,56230757471655
4738;Parking Talensac;9 Rue Le Nôtre;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;43;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2199027543669;-1,55769327865413
4739;Parking Bretagne;2 Rue de l'Abreuvoir;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;85;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2178043413193;-1,55831606085806
4740;Véloparc Haluchère;27 Rue du Ranzai;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;20;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,2498994730616;-1,52325034035658
4741;Véloparc Haluchère;15 Rue de la Petite Baratte;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;30;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,249293353142;-1,52349209556796
4742;Véloparc Ranzay;Route de Saint Joseph;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;30;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,253066262606;-1,53019929058564
4743;Véloparc Marcel Paul;73 Boulevard Marcel Paul;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;20;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,2457701105181;-1,61752450479839
4746;Véloparc Corbinerie;123 Rue Ernest Sauvestre;44400;440143;Rezé;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1617798231931;-1,54191716817065
4747;Véloparc Rouet;50 Rue des Papillons;44840;440198;Les Sorinières;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1467359959817;-1,51893503253335
4748;Véloparc Rue des prés;4 Rue des Prés;44830;440024;Brains;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1694367224748;-1,72293193757284
4750;Parking Feydeau;Rue Léon Maître;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Payant;Nantes Métropole;20;7 jours sur 7. 24 h sur 24.;collectif sécurisé;http://www.velos-nantes.fr/;02 51 84 94 51;47,2140734974024;-1,55260876888063
4802;Véloparc Embellie;20 Allée de l'Embellie;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;5;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2677968258863;-1,51652046932564
4803;Véloparc Le Cardo;1 Esplanade du Cardo;44700;440114;Orvault;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;3;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2618404296482;-1,58460891525021
4804;Véloparc Chêne des Anglais;3 Rue Eugène Thomas;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2616163779118;-1,57362164399881
4805;Véloparc Tertre;Boulevard Salvador Allende;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,214316930441;-1,60795992997358
