X_LONG;Y_LAT;Geo Shape;ID;NOM;ADRESSE;NB_JEUX
43,5804438424;1,39658455462;"{""type"": ""Point"", ""coordinates"": [1,396584554623357, 43,58044384241435]}";0085;MAILLOL RESIDENCE;Impasse de l'Azur;3
43,6062692161;1,38667190818;"{""type"": ""Point"", ""coordinates"": [1,38667190817791, 43,60626921609398]}";0086;MARMANDE;Chemin des Capelles;15
43,6096315359;1,3795473523;"{""type"": ""Point"", ""coordinates"": [1,3795473522955, 43,6096315358686]}";0092;PLATANES;Rue René Sentenac;3
43,5727876377;1,40186919721;"{""type"": ""Point"", ""coordinates"": [1,401869197212727, 43,57278763767213]}";0104;TABAR;Rue Jean Gilles;8
43,5829550856;1,44130750172;"{""type"": ""Point"", ""coordinates"": [1,441307501719695, 43,58295508563167]}";0118;DASTE ROND POINT;Place André Daste;4
43,5926036298;1,44979261968;"{""type"": ""Point"", ""coordinates"": [1,449792619681155, 43,59260362982294]}";0122;JARDIN DES PLANTES;Allées Frédéric Mistral;5
43,6316223845;1,45057168645;"{""type"": ""Point"", ""coordinates"": [1,450571686451195, 43,631622384524555]}";0150;LA MAOURINE;BOULEVARD BOURGES MAUNOURY;5
43,6087287359;1,45033822289;"{""type"": ""Point"", ""coordinates"": [1,450338222894061, 43,60872873590799]}";0156;BELFORT;PLACE BELFORT;2
43,5993725468;1,4549268237;"{""type"": ""Point"", ""coordinates"": [1,454926823700277, 43,599372546779094]}";0163;HALLE AUX GRAINS;PLACE DUPUY;4
43,5755281881;1,49980655903;"{""type"": ""Point"", ""coordinates"": [1,499806559032195, 43,575528188110646]}";0161;RIBAUTE;CHEMIN DE RIBAUTE;10
43,6342852642;1,45289609105;"{""type"": ""Point"", ""coordinates"": [1,452896091052984, 43,634285264169534]}";0165;LA  MAOURINE 2;chemin Lanusse;17
43,636035412;1,44329532577;"{""type"": ""Point"", ""coordinates"": [1,443295325769128, 43,636035411957096]}";0167;ERNEST RENAN 2;Chemin d'Audibert;1
43,5718421603;1,41398956384;"{""type"": ""Point"", ""coordinates"": [1,413989563840428, 43,571842160288035]}";0172;TABAR  PAPUS;Rue La Mayenne;6
43,5776441426;1,43932102971;"{""type"": ""Point"", ""coordinates"": [1,439321029714693, 43,577644142585456]}";0173;CENTRE COMMERCIAL EMPALOT;RUE HENRI SELLIER;4
43,564694997;1,3971867096;"{""type"": ""Point"", ""coordinates"": [1,39718670960399, 43,56469499695071]}";0183;BASTIDE  BELLEFONTAINE;Passage de Jerusalem;5
43,6146566538;1,40691062103;"{""type"": ""Point"", ""coordinates"": [1,406910621034952, 43,61465665383685]}";0185;SOLEIL D OR 2;Rue Louis Hérold;3
43,585797723;1,44905745079;"{""type"": ""Point"", ""coordinates"": [1,449057450793311, 43,58579772297095]}";0188;ROBESPIERRE;Rue Saint Denis;2
43,5891039891;1,46499312729;"{""type"": ""Point"", ""coordinates"": [1,464993127294081, 43,589103989087626]}";0112;BOISSERAIE;Rue Jean-Baptiste Noulet;4
43,6048130252;1,44484511272;"{""type"": ""Point"", ""coordinates"": [1,444845112723051, 43,60481302523435]}";0154;SQUARE DE GAULLE;Square de Gaulle;3
43,5847156328;1,42348205897;"{""type"": ""Point"", ""coordinates"": [1,423482058965795, 43,58471563284721]}";0196;BECANNE;rue thèodore  riviere;4
43,5696164806;1,41577077;"{""type"": ""Point"", ""coordinates"": [1,41577076999795, 43,56961648056613]}";0205;BORDELONGUE;Chemin Martyrs de Bordelongue;4
43,5940262219;1,46618924552;"{""type"": ""Point"", ""coordinates"": [1,466189245515058, 43,59402622190894]}";0207;VILLA  DES  ROSIERS;Rue de Limayrac;4
43,6180883631;1,48027421615;"{""type"": ""Point"", ""coordinates"": [1,480274216151827, 43,6180883630707]}";0214;ARGOULET  JMS;Rue de Rabastens;1
43,5840648613;1,4841630375;"{""type"": ""Point"", ""coordinates"": [1,484163037501299, 43,584064861328145]}";0218;SCHRADER 2;Impasse Franz Schrader;3
43,5657452873;1,39583208845;"{""type"": ""Point"", ""coordinates"": [1,395832088454236, 43,56574528726887]}";0221;LA TOURRASSE  2;;1
43,624305413;1,45231096477;"{""type"": ""Point"", ""coordinates"": [1,452310964765001, 43,62430541301879]}";0003;AUSONNE;Impasse Ausone;7
43,6067305525;1,47176383175;"{""type"": ""Point"", ""coordinates"": [1,471763831753672, 43,606730552487036]}";0013;COQUILLE;Rue de la Coquille;4
43,6174129326;1,43854291127;"{""type"": ""Point"", ""coordinates"": [1,438542911265094, 43,617412932637045]}";0022;GIESPER;Rue du Professeur Jammes;4
43,6135266437;1,43905199967;"{""type"": ""Point"", ""coordinates"": [1,439051999669123, 43,613526643736925]}";0148;GODOLIN;Rue Godolin;2
43,6447446902;1,43758596993;"{""type"": ""Point"", ""coordinates"": [1,437585969927522, 43,64474469019395]}";0026;IBOS;Rue Guillaume Ibos;2
43,6346604902;1,43608448462;"{""type"": ""Point"", ""coordinates"": [1,436084484621702, 43,63466049019061]}";0047;PARC DE LA VACHE;rue Paul Verlaine;7
43,638433721;1,46415218784;"{""type"": ""Point"", ""coordinates"": [1,464152187836207, 43,63843372102854]}";0014;PARC OZENNE;Impasse du Cimetière Croix Dau;1
43,6226916769;1,42808261055;"{""type"": ""Point"", ""coordinates"": [1,428082610551995, 43,622691676936974]}";0038;RAUZY;Rue François Rauzy;4
43,6068743991;1,40574917307;"{""type"": ""Point"", ""coordinates"": [1,405749173071853, 43,606874399142036]}";0062;CHARDONNETS;Rue Hilaire Chardonnet;3
43,5979190442;1,42443202082;"{""type"": ""Point"", ""coordinates"": [1,424432020822386, 43,59791904421171]}";0065;COLL;45 Rue Adolphe Coll;3
43,5664355104;1,40184812524;"{""type"": ""Point"", ""coordinates"": [1,401848125236646, 43,56643551035574]}";0073;FOULQUIER;Impasse François Foulquier;2
43,564137008;1,39499845632;"{""type"": ""Point"", ""coordinates"": [1,394998456317371, 43,56413700798738]}";0084;LA TOURASSE;Passage Georges Duhamel;4
43,5756644718;1,48990346596;"{""type"": ""Point"", ""coordinates"": [1,489903465958846, 43,57566447175501]}";0130;MONTAUDRAN;Route de Revel;4
43,6023166792;1,4668579533;"{""type"": ""Point"", ""coordinates"": [1,466857953303714, 43,60231667922916]}";0134;PINEL;Place Marius Pinel;5
43,6397501668;1,44337488641;"{""type"": ""Point"", ""coordinates"": [1,443374886408387, 43,639750166782946]}";0018;FAONS;Place des Faons;3
43,6126227371;1,46040257224;"{""type"": ""Point"", ""coordinates"": [1,460402572235709, 43,6126227370685]}";0019;FELIX LAVIT;Rue Urbain Le Verrier;1
43,5783468891;1,38642725486;"{""type"": ""Point"", ""coordinates"": [1,38642725485687, 43,57834688906106]}";0061;CEDRES;Rue Victor Schoelcher;3
43,5813210084;1,38014157648;"{""type"": ""Point"", ""coordinates"": [1,380141576480755, 43,58132100839085]}";0069;DUPOUY;Rue du Professeur Gaston Dupou;5
43,5907774711;1,41570790134;"{""type"": ""Point"", ""coordinates"": [1,415707901339391, 43,59077747112257]}";0091;PECH;Route de Saint Simon;4
43,5821260546;1,38364489001;"{""type"": ""Point"", ""coordinates"": [1,383644890013922, 43,582126054581856]}";0094;PORTAL;Rue Antoine Portal;5
43,5601627448;1,39524585397;"{""type"": ""Point"", ""coordinates"": [1,395245853965563, 43,560162744823934]}";0056;ZONE 16;Rue du Recteur Dottin;6
43,5496268289;1,45347606137;"{""type"": ""Point"", ""coordinates"": [1,453476061370135, 43,54962682893386]}";0136;POUVOURVILLE;Rue de Fondeville;8
43,5726369978;1,45911620504;"{""type"": ""Point"", ""coordinates"": [1,459116205041058, 43,57263699778441]}";0140;SACRE COEUR;Avenue de Rangueil;6
43,604979561;1,41223730486;"{""type"": ""Point"", ""coordinates"": [1,412237304855395, 43,604979561012776]}";0152;PRESSENSE;Avenue Pressence;3
43,633171836;1,44093190678;"{""type"": ""Point"", ""coordinates"": [1,44093190677721, 43,63317183601886]}";0159;PARCOURS DE SANTE;IMPASSE VITRY;7
43,5761350342;1,48242262113;"{""type"": ""Point"", ""coordinates"": [1,482422621134609, 43,57613503424201]}";0162;GUERRERO;IMP LAURENT GUERRERO;6
43,617727552;1,4792268511;"{""type"": ""Point"", ""coordinates"": [1,479226851101902, 43,617727551968805]}";0181;ARGOULETS JUDO;Rue de Rabastens;5
43,592566083;1,4167050706;"{""type"": ""Point"", ""coordinates"": [1,416705070602756, 43,5925660829975]}";0187;LE CRISTAL;Route de Saint Simon;3
43,6093284207;1,45971659049;"{""type"": ""Point"", ""coordinates"": [1,459716590492693, 43,609328420681294]}";0190;PARC  CHARLES  GASPARD;4 RUE REILLE;5
43,6103894117;1,45690324049;"{""type"": ""Point"", ""coordinates"": [1,456903240490021, 43,61038941174914]}";0195;MOIROUD;Rue Moiroud;3
43,559265018;1,37772445357;"{""type"": ""Point"", ""coordinates"": [1,377724453573396, 43,55926501804456]}";0198;REGUELONGUE;rue  reguelongue;1
43,617046761;1,43039322007;"{""type"": ""Point"", ""coordinates"": [1,430393220072203, 43,61704676101266]}";0199;JARDIN  SAUVAGE;Rue Jean Dagnaux;3
43,6011671284;1,48486415666;"{""type"": ""Point"", ""coordinates"": [1,484864156663981, 43,60116712837544]}";0194;SQUARE ROUGENET;Rue Claudius Rougenet;3
43,6148547158;1,42236865845;"{""type"": ""Point"", ""coordinates"": [1,422368658447029, 43,6148547157744]}";0200;PONTS JUMEAUX 2;RUE HENRI DOCQUIERT;6
43,5776710333;1,44461268867;"{""type"": ""Point"", ""coordinates"": [1,444612688670247, 43,57767103330978]}";0202;NIEL;PLACE GUY HERSANT;15
43,5767548252;1,39696333237;"{""type"": ""Point"", ""coordinates"": [1,396963332366315, 43,576754825192275]}";0206;CASTALIDES;IMP DU RECTEUR PAUL LAPIE;7
43,5644584533;1,39980585835;"{""type"": ""Point"", ""coordinates"": [1,399805858354793, 43,56445845334815]}";0208;JARDIN  LUTHER KING;PAS GEORGES BRAQUE;3
43,6495135211;1,44887361881;"{""type"": ""Point"", ""coordinates"": [1,448873618806216, 43,6495135210909]}";0209;GRAN SELVE;RUE FLORA TRISTAN;5
43,6654749529;1,39120958747;"{""type"": ""Point"", ""coordinates"": [1,391209587471093, 43,66547495293881]}";0212;BASE DE LOISIRS  DES QUINZE SO;BEAUZELLE;2
43,5648151445;1,40317970512;"{""type"": ""Point"", ""coordinates"": [1,403179705118849, 43,564815144463495]}";0204;ROUAULT;rue Georges Roualt;4
43,5673246894;1,41095237218;"{""type"": ""Point"", ""coordinates"": [1,410952372178337, 43,567324689418754]}";0106;VENDOME;Rue Vendome;2
43,6013706808;1,48489383316;"{""type"": ""Point"", ""coordinates"": [1,484893833162618, 43,601370680787966]}";0115;CITE DE L'HERS;Rue Claudius Rougenet;4
43,6550950661;1,41929890645;"{""type"": ""Point"", ""coordinates"": [1,419298906453908, 43,65509506609629]}";0211;BASE DE LOISIRS DE SESQUIERES;route de fenouillet;9
43,6007763408;1,44628359654;"{""type"": ""Point"", ""coordinates"": [1,446283596541649, 43,60077634083282]}";0144;PRIVAT;Rue de Metz;3
43,6420258285;1,43392707573;"{""type"": ""Point"", ""coordinates"": [1,433927075726065, 43,64202582853589]}";0042;SEMINAIRE;Chemin du Séminaire;4
43,5719605453;1,40616338084;"{""type"": ""Point"", ""coordinates"": [1,406163380844671, 43,57196054527642]}";0088;MESSAGER;Cheminement André Messager;12
43,5965939137;1,4173723788;"{""type"": ""Point"", ""coordinates"": [1,417372378803876, 43,596593913743696]}";0093;POLYGONE;Rue Roquemaurel;4
43,5779281946;1,4411754013;"{""type"": ""Point"", ""coordinates"": [1,441175401296695, 43,5779281945902]}";0123;JEAN MOULIN;Avenue Jean Moulin;4
43,5964541884;1,45866681224;"{""type"": ""Point"", ""coordinates"": [1,458666812240177, 43,59645418838416]}";0127;LAROUSSE;Rue Pierre Larousse;4
43,5734666709;1,48752888944;"{""type"": ""Point"", ""coordinates"": [1,487528889440263, 43,57346667089014]}";0133;PELLETRIE 2;Rue Emile Lecrivain;1
43,5732696271;1,46197431955;"{""type"": ""Point"", ""coordinates"": [1,46197431955426, 43,573269627119]}";0137;RANGUEIL;Avenue de Rangueil;5
43,6020150059;1,46387465181;"{""type"": ""Point"", ""coordinates"": [1,463874651807592, 43,602015005903496]}";0139;SACCARIN;Rue du Professeur Martin;4
43,6169868668;1,44563690251;"{""type"": ""Point"", ""coordinates"": [1,445636902508901, 43,616986866800275]}";0001;ABADIE;Avenue François Collignon;4
43,6240685092;1,43098273987;"{""type"": ""Point"", ""coordinates"": [1,430982739866297, 43,624068509210325]}";0008;BOURBAKI;Rue du Général Bourbaki;6
43,6387335748;1,44248938689;"{""type"": ""Point"", ""coordinates"": [1,442489386894064, 43,63873357479441]}";0010;CHAMOIS;Rue des Chamois;4
43,6381743009;1,4400016292;"{""type"": ""Point"", ""coordinates"": [1,440001629198544, 43,63817430091395]}";0011;CITE BLANCHE;Rue Arsène d'Arsonval;1
43,6230610352;1,45768389167;"{""type"": ""Point"", ""coordinates"": [1,457683891668913, 43,623061035189956]}";0024;HAUTS DE BONNEFOY;Rue Raoul Ponchon;5
43,6088654322;1,47195254742;"{""type"": ""Point"", ""coordinates"": [1,471952547421812, 43,60886543218404]}";0045;SOUPETARD;Rue de Soupetard;4
43,5611897219;1,37888769988;"{""type"": ""Point"", ""coordinates"": [1,37888769987513, 43,561189721858455]}";0066;CTRE ANIMATION ST-SIMON;Chemin de Liffard;5
43,5697350069;1,40618040311;"{""type"": ""Point"", ""coordinates"": [1,406180403108925, 43,56973500688136]}";0067;D'INDY;Cheminement Vincent d'Indy;5
43,6011548506;1,43131040786;"{""type"": ""Point"", ""coordinates"": [1,43131040786349, 43,60115485060965]}";0097;RAYMOND VI;Allées Charles de Fitte;2
43,5816368406;1,39232265172;"{""type"": ""Point"", ""coordinates"": [1,392322651717329, 43,58163684062585]}";0110;VIOLLET LE DUC;Rue Eugène Viollet Le Duc;4
43,5761628664;1,48546005193;"{""type"": ""Point"", ""coordinates"": [1,485460051933083, 43,57616286635121]}";0111;ALALOUF;Route de Revel;4
43,5797441192;1,47321323177;"{""type"": ""Point"", ""coordinates"": [1,473213231766346, 43,57974411919405]}";0114;BUTTE;Chemin de la Butte;1
43,5819390595;1,4418025069;"{""type"": ""Point"", ""coordinates"": [1,441802506895572, 43,58193905946018]}";0117;DASTE BAT 18;Rue de Bir Hakeim;2
43,5754722113;1,43808929471;"{""type"": ""Point"", ""coordinates"": [1,438089294709494, 43,57547221128899]}";0120;EMPALOT POUDRERIE;Impasse des Hérons;5
43,5887057285;1,48393924329;"{""type"": ""Point"", ""coordinates"": [1,483939243287186, 43,588705728522896]}";0126;LIMAYRAC;Chemin de Firmis;7
43,5840190149;1,48413502217;"{""type"": ""Point"", ""coordinates"": [1,484135022165239, 43,58401901492797]}";0143;SCHRADER;Impasse Franz Schrader;4
43,5979181166;1,45232178022;"{""type"": ""Point"", ""coordinates"": [1,452321780216216, 43,59791811658575]}";0157;VERDIE;Allées François Verdier;4
43,5556278187;1,44978702175;"{""type"": ""Point"", ""coordinates"": [1,44978702175348, 43,555627818699925]}";0178;PECH DAVID;Zone verte Pech David;3
43,6413580137;1,44930028626;"{""type"": ""Point"", ""coordinates"": [1,449300286263055, 43,64135801368393]}";0184;JARDIN DE CHANTECLER;Rue edmond Ronstand;2
43,5981722877;1,43468815593;"{""type"": ""Point"", ""coordinates"": [1,434688155928899, 43,59817228767021]}";0192;PLACE OLIVIER;45 Rue Adolphe Coll;3
43,5689152558;1,40336070971;"{""type"": ""Point"", ""coordinates"": [1,403360709706312, 43,568915255836245]}";0060;CAMBERT;Rue Cambert;4
43,6240137361;1,43720240462;"{""type"": ""Point"", ""coordinates"": [1,437202404615602, 43,62401373608488]}";0007;BORDEAUX;Rue de Bordeaux;5
43,5784269999;1,41453788578;"{""type"": ""Point"", ""coordinates"": [1,414537885781567, 43,57842699990254]}";0203;EX POSTE FAOURETTE;RUE DE L'UKRAINE;4
