X_LONG;Y_LAT;Geo Shape;site;annee_installation;zone_emission;nom_connexion;disponibilite;adresse;commune;ID
43,6043770597;1,44340379622;"{""type"": ""Point"", ""coordinates"": [1.443403796220756, 43,604377059664216]}";Capitole;2015;extérieur;MairieToulousePublic;24h/24h (sans garantie de service);PL DU CAPITOLE;TOULOUSE;1
43,6065132633;1,44576059144;"{""type"": ""Point"", ""coordinates"": [1.445760591435612, 43,60651326330789]}";Alsace 2;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);RUE D ALSACE LORRAINE;TOULOUSE;2
43,5949158241;1,45130737927;"{""type"": ""Point"", ""coordinates"": [1.451307379274425, 43,59491582411537]}";FanZone 1;2016;extérieur;_FanZone Toulouse;24h/24h (sans garantie de service);41 ALL JULES GUESDE;TOULOUSE;3
43,5947088745;1,45057516517;"{""type"": ""Point"", ""coordinates"": [1.450575165169255, 43,594708874504654]}";FanZone 2;2016;extérieur;_FanZone Toulouse;24h/24h (sans garantie de service);39 ALL JULES GUESDE;TOULOUSE;4
43,5938203034;1,44817344465;"{""type"": ""Point"", ""coordinates"": [1.448173444647911, 43,59382030342307]}";FanZone 5;2016;extérieur;_FanZone Toulouse;24h/24h (sans garantie de service);31 ALL JULES GUESDE;TOULOUSE;5
43,5936527826;1,44762673597;"{""type"": ""Point"", ""coordinates"": [1.447626735968368, 43,59365278264897]}";FanZone 6;2016;extérieur;_FanZone Toulouse;24h/24h (sans garantie de service);29 ALL JULES GUESDE;TOULOUSE;6
43,5974363938;1,43718013555;"{""type"": ""Point"", ""coordinates"": [1.437180135549896, 43,59743639375407]}";Cours Dillon 3;2016;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);"43°35'50.64""N   1°26'13.65""E";TOULOUSE;7
43,5673564619;1,4005869946;"{""type"": ""Point"", ""coordinates"": [1.400586994602127, 43,567356461917925]}";Bibliothèque Grand M;2016;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);37 AVENUE DE LA REYNERIE;TOULOUSE;8
43,6015216326;1,43948922609;"{""type"": ""Point"", ""coordinates"": [1.439489226092552, 43,60152163256809]}";Daurade;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);PL DE LA DAURADE;TOULOUSE;9
43,5980180107;1,43171889434;"{""type"": ""Point"", ""coordinates"": [1.431718894342754, 43,5980180106701]}";Saint-Cyprien;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);PL INTERIEURE SAINT CYPRIEN;TOULOUSE;10
43,6103120554;1,45568583892;"{""type"": ""Point"", ""coordinates"": [1.455685838924339, 43,61031205535919]}";Médiathèque José Cabanis;2015;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);1 ALL JACQUES CHABAN DELMAS;TOULOUSE;11
43,5944708832;1,44982679071;"{""type"": ""Point"", ""coordinates"": [1.449826790710281, 43,59447088317619]}";FanZone 3;2016;extérieur;_FanZone Toulouse;24h/24h (sans garantie de service);37 ALL JULES GUESDE;TOULOUSE;12
43,5954175654;1,43640957258;"{""type"": ""Point"", ""coordinates"": [1.436409572582128, 43,595417565414316]}";Cours Dillon 2;2016;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);"43°35'43.67""N   1°26'10.48""E";TOULOUSE;13
43,6010506068;1,44631008192;"{""type"": ""Point"", ""coordinates"": [1.446310081922574, 43,6010506068296]}";Musée des Augustins;2016;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);21 RUE DE METZ;TOULOUSE;14
43,6033998993;1,43566495925;"{""type"": ""Point"", ""coordinates"": [1.435664959245645, 43,603399899319776]}";Saint-Pierre;2015;extérieur;MairieToulousePublic;24h/24h (sans garantie de service);PL SAINT PIERRE;TOULOUSE;15
43,6045135249;1,44512436272;"{""type"": ""Point"", ""coordinates"": [1.445124362718047, 43,60451352492704]}";Square de Gaulle;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);SQ GENERAL DE GAULLE;TOULOUSE;16
43,6077267819;1,44387119385;"{""type"": ""Point"", ""coordinates"": [1.443871193847799, 43,60772678187741]}";Biliothèque Perigord;2016;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);RUE DU PERIGORD;TOULOUSE;17
43,6030317658;1,4457682141;"{""type"": ""Point"", ""coordinates"": [1.445768214100221, 43,60303176577894]}";Alsace 3;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);RUE D ALSACE LORRAINE;TOULOUSE;18
43,601879448;1,44576737648;"{""type"": ""Point"", ""coordinates"": [1.445767376476294, 43,60187944795425]}";Alsace 4;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);RUE D ALSACE LORRAINE;TOULOUSE;19
43,5942617325;1,44920372522;"{""type"": ""Point"", ""coordinates"": [1.4492037252175, 43,594261732458826]}";FanZone 4;2016;extérieur;_FanZone Toulouse;24h/24h (sans garantie de service);35 ALL JULES GUESDE;TOULOUSE;20
43,6037406134;1,43986886737;"{""type"": ""Point"", ""coordinates"": [1.43986886736988, 43,60374061343562]}";Museum;2016;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);35 ALLEES JULES GUESDES;TOULOUSE;21
43,5938565811;1,4493019871;"{""type"": ""Point"", ""coordinates"": [1.449301987098347, 43,593856581067826]}";Musée des Jacobins;2016;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);69 RUE PARGAMINIERES;TOULOUSE;22
43,6077676594;1,44570341908;"{""type"": ""Point"", ""coordinates"": [1.44570341907554, 43,607767659398455]}";Alsace 1;2015;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);RUE D ALSACE LORRAINE;TOULOUSE;23
43,6005112087;1,44565208383;"{""type"": ""Point"", ""coordinates"": [1.445652083830441, 43,600511208701036]}";Esquirol/Rue de Metz;2016;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);30 RUE DE METZ;TOULOUSE;24
43,5930913698;1,43568932256;"{""type"": ""Point"", ""coordinates"": [1.435689322558871, 43,59309136976148]}";Cours Dillon 1;2016;extérieur;Toulouse_wifi;24h/24h (sans garantie de service);"43°35'35.15""N   1°26'7.94""E";TOULOUSE;25
43,5788151206;1,44193015557;"{""type"": ""Point"", ""coordinates"": [1.441930155566419, 43,57881512060604]}";Bibliothèque Empalot;2016;intérieur bâtiment;_MairieToulousePublic;24h/24h (sans garantie de service);40 AVENUE JEAN MOULIN;TOULOUSE;26
